fM0  [-7.8393586731,7.69536148071]
fM1  [-10.7299963379,11.0500036621]
fM2  [-2.71159975052,2.67112020874]
fM3  [-3.61279953003,3.62560020447]
fM4  [-4.76607998657,4.76607998657]
fM5  [-7.81290096283,7.88489955902]
fM6  [-15.3558360596,15.3812039948]
fM7  [-19.1446394653,18.8249612885]
fT0  [-0.615960104465,0.637871879578]
fT1  [-0.368783779144,0.408784217834]
fT2  [-1.09808007717,1.27145588684]
fT5  [-0.424864091873,0.431244686127]
fT6  [-0.335584104061,0.343948698044]
fT7  [-0.912539968491,0.978539953232]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
fM0  [-9.42892999268,9.38092584229]
